,Name,Year_of_Release,Publisher,Country,City,Developer,Platform,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating
9136,Cities: Skylines,2015.0,Paradox Interactive,nan,nan,Colossal Order,PC,Simulation,0.0,0.13,0.0,0.01,0.14,85.0,60.0,8.9,1404.0,E
9137,Drawn to Life Collection,2010.0,THQ,United States,Agoura Hills,5TH Cell,DS,Misc,0.13,0.0,0.0,0.01,0.14,,,,,E
9138,Eternal Poison,2008.0,Banpresto,nan,nan,Flight-Plan,PS2,Role-Playing,0.07,0.05,0.0,0.02,0.14,65.0,11.0,8.2,9.0,T
9139,Gretzky NHL 06,2005.0,Sony Computer Entertainment,United States,"Tokyo (SIE, Inc.) San Mateo (SIE, LLC)",Page 44 Studios,PS2,Sports,0.07,0.05,0.0,0.02,0.14,62.0,24.0,,,E10+
9140,Gungrave: Overdose,2004.0,Play It,nan,nan,Seta Corporation,PS2,Shooter,0.07,0.05,0.0,0.02,0.14,68.0,50.0,8.7,12.0,M
9141,Metal Slug Anthology,2006.0,Ignition Entertainment,nan,nan,Terminal Reality,Wii,Shooter,0.12,0.01,0.0,0.01,0.14,73.0,38.0,8.0,22.0,T
9142,Kidou Senshi Gundam: Shin Gihren no Yabou,2011.0,Namco Bandai Games,nan,nan,,PSP,Strategy,0.0,0.0,0.14,0.0,0.14,,,,,
9143,The Orange Box,2007.0,Electronic Arts,United States,Redwood City,Valve Software,PC,Shooter,0.0,0.11,0.0,0.03,0.14,96.0,34.0,9.3,1495.0,M
9144,Shovel Knight,2015.0,Yacht Club Games,United States,"Valencia, California",Yacht Club Games,3DS,Platform,0.08,0.04,0.02,0.01,0.14,90.0,9.0,8.2,225.0,E
9145,Pro Evolution Soccer 2015,2014.0,Konami Digital Entertainment,nan,nan,Konami,X360,Sports,0.05,0.08,0.0,0.01,0.14,,,6.8,29.0,E
9146,NBA ShootOut 2002,2001.0,Sony Computer Entertainment,United States,"Tokyo (SIE, Inc.) San Mateo (SIE, LLC)",989 Sports,PS,Sports,0.08,0.05,0.0,0.01,0.14,53.0,10.0,,,E
9147,The Granstream Saga,1997.0,Sony Computer Entertainment,United States,"Tokyo (SIE, Inc.) San Mateo (SIE, LLC)",,PS,Role-Playing,0.08,0.05,0.0,0.01,0.14,,,,,
9148,Power Gig: Rise of the SixString,2010.0,Unknown,nan,nan,Seven45 Studios,PS3,Misc,0.13,0.0,0.0,0.01,0.14,36.0,10.0,0.5,4.0,T
9149,Mr. Driller: Drill Spirits,2004.0,Nintendo,Japan,Kyoto,Namco,DS,Puzzle,0.08,0.0,0.05,0.01,0.14,70.0,35.0,8.9,9.0,E
9150,Bio FREAKS,1998.0,GT Interactive,nan,nan,,N64,Action,0.11,0.03,0.0,0.0,0.14,,,,,
9151,Bassmasters 2000,1999.0,THQ,United States,Agoura Hills,,N64,Sports,0.11,0.03,0.0,0.0,0.14,,,,,
9152,WCW Backstage Assault,,Unknown,nan,nan,,N64,Action,0.11,0.03,0.0,0.0,0.14,,,,,
9153,Micro Machines 64 Turbo,1999.0,Codemasters,United Kingdom,Southam,,N64,Racing,0.11,0.03,0.0,0.0,0.14,,,,,
9154,Baldur's Gate: Dark Alliance,2002.0,Virgin Interactive,nan,nan,High Voltage Software,GC,Role-Playing,0.11,0.03,0.0,0.0,0.14,79.0,10.0,7.7,22.0,T
9155,"Holy Invasion of Privacy, Badman! What Did I Do to Deserve This?",2007.0,Nippon Ichi Software,Japan,Kakamigahara,,PSP,Role-Playing,0.0,0.0,0.13,0.0,0.14,,,,,
9156,Eternal Eyes,1999.0,Sunsoft,nan,nan,,PS,Role-Playing,0.08,0.05,0.0,0.01,0.14,,,,,
9157,The Walking Dead: Season Two,2014.0,Telltale Games,United States,San Rafael,,XOne,Adventure,0.08,0.05,0.0,0.01,0.14,,,,,
9158,Dream Pinball 3D,2008.0,SouthPeak Games,nan,nan,TopWare Interactive,Wii,Misc,0.1,0.02,0.0,0.01,0.14,54.0,8.0,7.6,7.0,E10+
9159,Fate/Unlimited Codes,2008.0,Capcom,Japan,Osaka,,PS2,Fighting,0.0,0.0,0.14,0.0,0.14,,,,,
9160,Star Wars: Knights of the Old Republic,2003.0,LucasArts,United States,San Francisco,BioWare,PC,Role-Playing,0.01,0.1,0.0,0.02,0.14,93.0,33.0,9.0,1497.0,T
9161,The Operative: No One Lives Forever,2002.0,Electronic Arts,United States,Redwood City,Monolith Productions,PS2,Shooter,0.07,0.05,0.0,0.02,0.14,67.0,23.0,8.0,16.0,T
9162,Gallop & Ride!,2008.0,THQ,United States,Agoura Hills,,Wii,Sports,0.13,0.0,0.0,0.01,0.14,,,,,
9163,Epidemic,1995.0,Sony Computer Entertainment,United States,"Tokyo (SIE, Inc.) San Mateo (SIE, LLC)",,PS,Shooter,0.02,0.01,0.1,0.01,0.14,,,,,
9164,Monster House,2006.0,THQ,United States,Agoura Hills,Artificial Mind and Movement,GC,Adventure,0.11,0.03,0.0,0.0,0.14,60.0,18.0,,,E10+
9165,Backyard Sports: Sandlot Sluggers,2010.0,Atari,United States,Pawtucket,Powerhead Games,DS,Sports,0.13,0.0,0.0,0.01,0.14,,,,,E
9166,Dead or Alive 2,2000.0,Acclaim Entertainment,United States,Glen Cove,,DC,Fighting,0.0,0.0,0.14,0.0,0.14,,,,,
9167,Buck Fever,2009.0,Destineer,nan,nan,Destineer,Wii,Sports,0.13,0.0,0.0,0.01,0.14,,,,,T
9168,Monster Hunter Diary: Poka Poka Airou Village DX,2015.0,Capcom,Japan,Osaka,,3DS,Action,0.0,0.0,0.14,0.0,0.14,,,,,
9169,Cabela's African Safari,2006.0,Activision Value,nan,nan,FUN Labs,X360,Sports,0.13,0.0,0.0,0.01,0.14,53.0,4.0,5.0,8.0,T
9170,NCAA Basketball Final Four 97,1997.0,Mindscape,nan,nan,,PS,Sports,0.08,0.05,0.0,0.01,0.14,,,,,
9171,Ecco the Dolphin: Defender of the Future,2002.0,Sony Computer Entertainment,United States,"Tokyo (SIE, Inc.) San Mateo (SIE, LLC)",Appaloosa Interactive,PS2,Adventure,0.07,0.05,0.0,0.02,0.14,71.0,17.0,8.5,11.0,E
9172,Atari's Greatest Hits: Volume 1,2010.0,Atari,United States,Pawtucket,,DS,Misc,0.13,0.0,0.0,0.01,0.14,,,,,
9173,The Bombing Islands,1997.0,Kemco,nan,nan,,PS,Platform,0.08,0.05,0.0,0.01,0.14,,,,,
9174,Yogi Bear: The Video Game,2010.0,D3Publisher,nan,nan,,DS,Action,0.1,0.03,0.0,0.01,0.14,,,,,
9175,Earth Defense Force 2: Invaders from Planet Space,2011.0,D3Publisher,nan,nan,,PSP,Action,0.0,0.0,0.14,0.0,0.14,,,,,
9176,Just Cause,2006.0,Eidos Interactive,nan,nan,Avalanche Studios,X360,Action,0.1,0.03,0.01,0.01,0.14,73.0,57.0,7.2,52.0,M
9177,Hot Wheels: Beat That!,2007.0,Activision,United States,Santa Monica,Eutechnyx,Wii,Racing,0.13,0.0,0.0,0.01,0.14,,,5.3,9.0,E
9178,X-Blades,2009.0,SouthPeak Games,nan,nan,Gaijin Entertainment,X360,Action,0.1,0.02,0.02,0.01,0.14,50.0,39.0,5.4,14.0,M
9179,Odin Sphere: Leifthrasir,2016.0,Nippon Ichi Software,Japan,Kakamigahara,Vanillaware,PSV,Role-Playing,0.02,0.02,0.09,0.01,0.14,93.0,5.0,7.9,83.0,T
9180,Homefront: The Revolution,2016.0,Deep Silver,nan,nan,Deep Silver Dambuster Studios,XOne,Shooter,0.06,0.07,0.0,0.01,0.14,49.0,12.0,4.1,106.0,M
9181,Gyakuten Saiban 2,2002.0,Capcom,Japan,Osaka,,GBA,Action,0.0,0.0,0.14,0.0,0.14,,,,,
9182,Godzilla: Save the Earth,2004.0,Atari,United States,Pawtucket,"Pipeworks Software, Inc.",XB,Fighting,0.1,0.03,0.0,0.0,0.14,63.0,22.0,8.2,6.0,T
9183,Micro Machines,2002.0,Atari,United States,Pawtucket,Atari,PS2,Racing,0.07,0.05,0.0,0.02,0.14,54.0,6.0,,,E
9184,TRINITY: Souls of Zill O'll,2010.0,Ubisoft Annecy,nan,nan,Omega Force,PS3,Role-Playing,0.06,0.03,0.03,0.01,0.14,55.0,34.0,6.2,33.0,T
9185,Detective Barbie: The Mystery Cruise,1999.0,Mattel Interactive,nan,nan,,PS,Adventure,0.08,0.05,0.0,0.01,0.14,,,,,
9186,Jim Henson's the Muppets: On With the Show!,2003.0,TDK Mediactive,nan,nan,,GBA,Action,0.1,0.04,0.0,0.0,0.14,,,,,
9187,Desire,1997.0,Imadio,nan,nan,,SAT,Adventure,0.0,0.0,0.14,0.0,0.14,,,,,
9188,Asphalt: Urban GT 2,2006.0,Ubisoft,Europe,Montreuil-sous-Bois,Virtuos,DS,Racing,0.09,0.04,0.0,0.01,0.14,,,6.9,13.0,E10+
9189,Pro Yaky? Spirits 2014,2014.0,Konami Digital Entertainment,nan,nan,,PS3,Sports,0.0,0.0,0.14,0.0,0.14,,,,,
9190,Virtua Tennis 4,2011.0,Sega,United States,"Ota, Tokyo,San Francisco",Sega,Wii,Sports,0.05,0.08,0.0,0.01,0.14,65.0,15.0,7.5,4.0,E
9191,Tim Burton's The Nightmare Before Christmas: The Pumpkin King,2005.0,Disney Interactive Studios,United States,Glendale,TOSE,GBA,Platform,0.1,0.04,0.0,0.0,0.14,71.0,5.0,5.5,6.0,E10+
9192,Frank Thomas Big Hurt Baseball,1996.0,Acclaim Entertainment,United States,Glen Cove,,PS,Sports,0.08,0.05,0.0,0.01,0.14,,,,,
9193,Power Pro Kun Pocket 8,2005.0,Konami Digital Entertainment,nan,nan,,DS,Sports,0.0,0.0,0.14,0.0,0.14,,,,,
9194,Enclave,2002.0,Swing! Entertainment,nan,nan,Starbreeze,XB,Adventure,0.11,0.03,0.0,0.01,0.14,66.0,28.0,8.4,13.0,M
9195,Sid Meier's Pirates!,2005.0,Take-Two Interactive,nan,nan,,XB,Strategy,0.11,0.03,0.0,0.01,0.14,,,,,
9196,Wild ARMs XF,2007.0,505 Games,nan,nan,Media Vision,PSP,Role-Playing,0.07,0.0,0.06,0.01,0.14,64.0,22.0,6.6,19.0,E10+
9197,Bottom of the 9th,1996.0,Konami Digital Entertainment,nan,nan,,PS,Sports,0.08,0.05,0.0,0.01,0.14,,,,,
9198,7 Days to Die,2016.0,Telltale Games,United States,San Rafael,The Fun Pimps Entertainment LLC,PS4,Action,0.04,0.08,0.0,0.02,0.14,45.0,16.0,5.9,140.0,M
9199,Rayman Legends,2014.0,Ubisoft,Europe,Montreuil-sous-Bois,Ubisoft Montpellier,PSV,Platform,0.01,0.1,0.0,0.03,0.14,87.0,8.0,8.4,159.0,E10+
9200,Dino Crisis 3,2003.0,Capcom,Japan,Osaka,Capcom,XB,Action,0.08,0.03,0.03,0.0,0.14,51.0,28.0,4.1,22.0,M
9201,NFL Blitz 20-03,2002.0,Midway Games,United States,Chicago,Point of View,GC,Sports,0.11,0.03,0.0,0.0,0.14,72.0,11.0,,,E
9202,The King of Fighters '94 (CD),1993.0,SNK,Japan,Osaka,,NG,Fighting,0.0,0.0,0.14,0.0,0.14,,,,,
9203,Horse Life Adventures,2008.0,Deep Silver,nan,nan,Neko Entertainment,Wii,Simulation,0.12,0.01,0.0,0.01,0.14,,,,,E
9204,College Hoops 2K8,2007.0,Take-Two Interactive,nan,nan,Visual Concepts,PS3,Sports,0.13,0.0,0.0,0.01,0.14,82.0,18.0,5.2,6.0,E
9205,Risen,2009.0,Deep Silver,nan,nan,Piranha Bytes,PC,Role-Playing,0.0,0.11,0.0,0.02,0.14,77.0,32.0,8.1,676.0,M
9206,Barbie Explorer,2001.0,Unknown,nan,nan,,PS,Platform,0.08,0.05,0.0,0.01,0.14,,,,,
9207,Disney's Chicken Little,2005.0,Disney Interactive Studios,United States,Glendale,Avalanche Software,XB,Platform,0.1,0.03,0.0,0.0,0.14,68.0,15.0,,,E10+
9208,Transformers: Devastation,2015.0,Activision,United States,Santa Monica,PlatinumGames,XOne,Action,0.09,0.04,0.0,0.01,0.14,75.0,25.0,7.9,55.0,T
9209,The Darkness II,2012.0,Take-Two Interactive,nan,nan,Digital Extremes,PC,Shooter,0.1,0.03,0.0,0.01,0.14,77.0,20.0,7.6,448.0,M
9210,Age of Empires: Collector's Edition,2000.0,Ubisoft,Europe,Montreuil-sous-Bois,Ensemble Studios,PC,Strategy,0.02,0.1,0.0,0.02,0.14,,,8.0,6.0,T
9211,Agile Warrior F-111X,1995.0,Virgin Interactive,nan,nan,,PS,Simulation,0.08,0.05,0.0,0.01,0.14,,,,,
9212,Jikkyou Powerful Pro Yakyuu Wii,2007.0,Konami Digital Entertainment,nan,nan,,Wii,Sports,0.0,0.0,0.14,0.0,0.14,,,,,
9213,Eragon,2006.0,Vivendi Games,nan,nan,Stormfront Studios,X360,Action,0.12,0.01,0.0,0.01,0.14,48.0,32.0,5.7,24.0,T
9214,Dynasty Warriors 7: Empires,2012.0,Ubisoft Annecy,nan,nan,Omega Force,PS3,Action,0.0,0.0,0.14,0.0,0.14,63.0,20.0,8.0,22.0,T
9215,Super Puzzle Fighter II Turbo,1996.0,Virgin Interactive,nan,nan,Capcom,PS,Puzzle,0.08,0.05,0.0,0.01,0.14,83.0,9.0,7.4,5.0,E
9216,Star Wars: Jedi Power Battles,2002.0,THQ,United States,Agoura Hills,HotGen,GBA,Action,0.1,0.04,0.0,0.0,0.14,58.0,8.0,,,T
9217,Scene It? Bright Lights! Big Screen!,2009.0,Warner Bros. Interactive Entertainment,United States,Chicago,,Wii,Misc,0.13,0.0,0.0,0.01,0.14,,,,,
9218,Ultimate Muscle - The Kinnikuman Legacy: Legends vs New Generation,2002.0,Namco Bandai Games,nan,nan,,GC,Fighting,0.04,0.01,0.08,0.0,0.14,,,,,
9219,Bejeweled 3,,Unknown,nan,nan,PopCap,X360,Puzzle,0.13,0.0,0.0,0.01,0.14,78.0,13.0,8.4,11.0,E
9220,Space Venus starring Morning Musume,2001.0,Sony Music Entertainment,nan,nan,,PS2,Misc,0.0,0.0,0.14,0.0,0.14,,,,,
9221,To Heart,1999.0,Aqua Plus,nan,nan,,PS,Adventure,0.0,0.0,0.13,0.01,0.14,,,,,
9222,Let's Cheer,2011.0,Take-Two Interactive,nan,nan,,X360,Misc,0.12,0.0,0.0,0.01,0.14,,,,,
9223,RockMan & Forte,1998.0,Capcom,Japan,Osaka,,SNES,Platform,0.0,0.0,0.14,0.0,0.14,,,,,
9224,Doukyuusei,1995.0,NEC,nan,nan,,TG16,Adventure,0.0,0.0,0.14,0.0,0.14,,,,,
9225,Dead Island Definitive Collection,2016.0,Deep Silver,nan,nan,Techland,PS4,Action,0.03,0.07,0.01,0.02,0.14,63.0,32.0,6.4,45.0,M
9226,Dragon Age: Origins - Ultimate Edition,2010.0,Electronic Arts,United States,Redwood City,,PC,Role-Playing,0.0,0.12,0.0,0.02,0.14,,,,,
9227,MySims Collection,2010.0,Electronic Arts,United States,Redwood City,Full Fat,Wii,Misc,0.13,0.0,0.0,0.01,0.14,,,,,E
9228,Master Jin Jin's IQ Challenge,2006.0,505 Games,nan,nan,Astroll,DS,Misc,0.13,0.0,0.0,0.01,0.14,38.0,4.0,,,E
9229,Blazing Angels 2: Secret Missions of WWII,2007.0,Ubisoft,Europe,Montreuil-sous-Bois,Ubisoft Romania,X360,Simulation,0.11,0.02,0.0,0.01,0.14,72.0,24.0,7.8,12.0,T
9230,The History Channel: Civil War - A Nation Divided,2006.0,Activision,United States,Santa Monica,,X360,Shooter,0.13,0.0,0.0,0.01,0.14,,,,,
9231,Rayman Arena,2002.0,Ubisoft,Europe,Montreuil-sous-Bois,Ubisoft,GC,Racing,0.11,0.03,0.0,0.0,0.14,60.0,10.0,7.2,6.0,E
9232,FIFA 06 Soccer,2005.0,Electronic Arts,United States,Redwood City,,GC,Sports,0.11,0.03,0.0,0.0,0.14,,,,,
9233,DmC: Devil May Cry,2015.0,Capcom,Japan,Osaka,,XOne,Action,0.08,0.04,0.0,0.01,0.14,,,,,
9234,How to Train Your Dragon,2010.0,Activision,United States,Santa Monica,Etranges Libellules,X360,Action,0.11,0.02,0.0,0.01,0.14,58.0,23.0,7.6,10.0,E10+
9235,Farming Simulator 2012,2012.0,Excalibur Publishing,nan,nan,,3DS,Action,0.0,0.12,0.0,0.01,0.14,,,,,
9236,4x4 EVO 2,2002.0,Vivendi Games,nan,nan,Terminal Reality,GC,Racing,0.11,0.03,0.0,0.0,0.14,56.0,7.0,,,E
9237,Pro Yakyuu Netsu Star 2006,2006.0,Namco Bandai Games,nan,nan,,PS2,Sports,0.0,0.0,0.14,0.0,0.14,,,,,
9238,Battlefield: Hardline,2015.0,Electronic Arts,United States,Redwood City,Visceral Games,PC,Shooter,0.0,0.13,0.0,0.01,0.14,71.0,31.0,3.8,773.0,M
9239,Cyber Sled,1995.0,Sony Computer Entertainment,United States,"Tokyo (SIE, Inc.) San Mateo (SIE, LLC)",,PS,Action,0.0,0.0,0.13,0.01,0.14,,,,,
9240,Puyo Puyo!! 20th Anniversary,2011.0,Sega,United States,"Ota, Tokyo,San Francisco",,DS,Puzzle,0.0,0.0,0.14,0.0,0.14,,,,,
9241,Shining Soul,2002.0,Atari,United States,Pawtucket,Next Entertainment,GBA,Role-Playing,0.03,0.01,0.09,0.0,0.14,58.0,13.0,8.5,8.0,E
9242,Brothers: A Tale of Two Sons,2015.0,505 Games,nan,nan,Starbreeze,PS4,Adventure,0.03,0.08,0.0,0.02,0.14,81.0,10.0,8.6,73.0,T
9243,Monster Lab,2008.0,Eidos Interactive,nan,nan,Backbone Entertainment,DS,Role-Playing,0.12,0.01,0.0,0.01,0.14,75.0,8.0,,,E10+
9244,In the Hunt,1995.0,THQ,United States,Agoura Hills,,PS,Shooter,0.03,0.02,0.07,0.01,0.14,,,,,
9245,Daytona USA Championship Circuit Edition,1995.0,Sega,United States,"Ota, Tokyo,San Francisco",,SAT,Racing,0.0,0.0,0.14,0.0,0.14,,,,,
9246,Marvel vs. Capcom 2: New Age of Heroes,2002.0,Capcom,Japan,Osaka,,XB,Fighting,0.09,0.03,0.01,0.0,0.14,,,,,
9247,SNK vs. Capcom: The Match of the Millennium,2006.0,Sega,United States,"Ota, Tokyo,San Francisco",,PS2,Fighting,0.0,0.02,0.0,0.12,0.14,,,,,
9248,Dead Rising 2,2010.0,Capcom,Japan,Osaka,Blue Castle Games,PC,Action,0.1,0.02,0.0,0.01,0.14,78.0,17.0,6.3,211.0,M
9249,Paws & Claws: Pet Vet 2,2007.0,THQ,United States,Agoura Hills,,DS,Simulation,0.13,0.0,0.0,0.01,0.14,,,,,
9250,Ape Escape Academy (jp sales),2004.0,Sony Computer Entertainment,United States,"Tokyo (SIE, Inc.) San Mateo (SIE, LLC)",,PSP,Misc,0.0,0.0,0.13,0.0,0.14,,,,,
9251,Fear Factor: Unleashed,2004.0,Hip Interactive,nan,nan,DC Studios,GBA,Action,0.1,0.04,0.0,0.0,0.14,30.0,15.0,3.0,4.0,T
9252,Hard Rock Casino,2007.0,Oxygen Interactive,nan,nan,Farsight Studios,PSP,Misc,0.12,0.0,0.0,0.01,0.14,44.0,8.0,,,T
9253,Robots,2005.0,Vivendi Games,nan,nan,Griptonite Games,DS,Action,0.12,0.0,0.0,0.01,0.14,,,6.7,6.0,E
9254,Houshinengi,1998.0,Tecmo Koei,nan,nan,,PS,Strategy,0.0,0.0,0.13,0.01,0.14,,,,,
9255,7th Dragon,2009.0,Sega,United States,"Ota, Tokyo,San Francisco",,DS,Role-Playing,0.0,0.0,0.14,0.0,0.14,,,,,
9256,Bust-A-Move Deluxe,2006.0,505 Games,nan,nan,Taito Corporation,PSP,Puzzle,0.13,0.0,0.0,0.01,0.14,67.0,7.0,,,E
9257,Murdered: Soul Suspect,2014.0,Square Enix,Japan,"Shinjuku, Tokyo",Airtight Games,PS3,Action,0.05,0.05,0.02,0.02,0.14,,,7.1,55.0,M
9258,Pet Pals: Animal Doctor,2008.0,JoWood Productions,nan,nan,Legacy Interactive,Wii,Simulation,0.13,0.0,0.0,0.01,0.14,,,,,E10+
9259,LEGO Island Xtreme Stunts,2002.0,LEGO Media,nan,nan,,GBA,Racing,0.1,0.04,0.0,0.0,0.14,,,,,
9260,Shining Resonance,2014.0,Sega,United States,"Ota, Tokyo,San Francisco",,PS3,Role-Playing,0.0,0.0,0.14,0.0,0.14,,,,,
9261,Heroes over Europe,2009.0,Ubisoft,Europe,Montreuil-sous-Bois,Transmission Games,X360,Simulation,0.1,0.02,0.0,0.01,0.14,62.0,39.0,8.1,9.0,T
9262,Alvin and the Chipmunks,2007.0,Brash Entertainment,nan,nan,Sensory Sweep,DS,Misc,0.12,0.0,0.0,0.01,0.14,,,,,E
9263,Create,2010.0,Electronic Arts,United States,Redwood City,EA Bright Light,X360,Action,0.1,0.03,0.0,0.01,0.14,60.0,19.0,5.8,10.0,E
9264,World Soccer Winning Eleven 9 Bonus Pack,2006.0,Konami Digital Entertainment,nan,nan,,PS2,Sports,0.0,0.0,0.14,0.0,0.14,,,,,
9265,UEFA Euro 2004: Portugal,2004.0,Electronic Arts,United States,Redwood City,EA Canada,PS2,Sports,0.07,0.05,0.0,0.02,0.14,76.0,21.0,6.4,18.0,E
9266,Happy Feet,2006.0,Midway Games,United States,Chicago,Artificial Mind and Movement,Wii,Action,0.12,0.0,0.0,0.01,0.14,46.0,11.0,6.7,16.0,E
9267,Hot Wheels: World Race,2003.0,THQ,United States,Agoura Hills,THQ,GBA,Racing,0.1,0.04,0.0,0.0,0.14,,,6.2,5.0,E
9268,Major League Baseball 2K8,2008.0,Take-Two Interactive,nan,nan,,Wii,Sports,0.13,0.0,0.0,0.01,0.14,,,,,
9269,Lips: I Love The 80s,2010.0,Microsoft Game Studios,nan,nan,,X360,Misc,0.0,0.12,0.0,0.02,0.14,,,,,
9270,NBA Jam,2003.0,Acclaim Entertainment,United States,Glen Cove,Acclaim,XB,Sports,0.1,0.03,0.0,0.0,0.14,68.0,17.0,9.1,7.0,E
9271,World Tour Soccer 2002,2001.0,Sony Computer Entertainment,United States,"Tokyo (SIE, Inc.) San Mateo (SIE, LLC)",SCEE London Studio,PS2,Sports,0.07,0.05,0.0,0.02,0.14,77.0,21.0,7.5,10.0,E
9272,NBA Ballers: Chosen One,2008.0,Midway Games,United States,Chicago,Midway,PS3,Sports,0.12,0.0,0.0,0.01,0.14,54.0,23.0,6.5,4.0,E
9273,Nicktoons: MLB,2011.0,Take-Two Interactive,nan,nan,High Voltage Software,Wii,Sports,0.13,0.0,0.0,0.01,0.14,,,,,E
9274,NCIS,2011.0,Ubisoft,Europe,Montreuil-sous-Bois,Ubisoft,X360,Adventure,0.1,0.02,0.0,0.01,0.14,35.0,11.0,4.7,7.0,T
9275,Travel Games For Dummies,2008.0,Electronic Arts,United States,Redwood City,Electronic Arts,DS,Misc,0.12,0.0,0.0,0.01,0.14,62.0,5.0,,,E
9276,Interactive Sampler Disc 6,1997.0,Sony Computer Entertainment,United States,"Tokyo (SIE, Inc.) San Mateo (SIE, LLC)",,PS,Misc,0.08,0.05,0.0,0.01,0.14,,,,,
9277,Shinobido 2: Tales of the Ninja,2011.0,Sony Computer Entertainment,United States,"Tokyo (SIE, Inc.) San Mateo (SIE, LLC)",,PSV,Action,0.04,0.05,0.02,0.02,0.14,,,,,
9278,Apex,2003.0,Atari,United States,Pawtucket,Milestone S.r.l,XB,Racing,0.1,0.03,0.0,0.0,0.14,74.0,26.0,9.1,7.0,E
9279,Kamen Rider Battle: Ganbaride,2010.0,Namco Bandai Games,nan,nan,,DS,Strategy,0.0,0.0,0.14,0.0,0.14,,,,,
9280,Persona 4: Arena Ultimax,2014.0,Atlus,Japan,Tokyo,Arc System Works,PS3,Fighting,0.0,0.0,0.13,0.0,0.14,84.0,38.0,8.1,85.0,T
9281,Tomb Raider: The Prophecy,2002.0,Ubisoft,Europe,Montreuil-sous-Bois,Ubisoft Milan,GBA,Action,0.1,0.04,0.0,0.0,0.14,66.0,20.0,8.8,13.0,T
9282,Vampire Night,2001.0,Sony Computer Entertainment,United States,"Tokyo (SIE, Inc.) San Mateo (SIE, LLC)",Wow Entertainment,PS2,Shooter,0.07,0.05,0.0,0.02,0.14,65.0,18.0,8.0,5.0,T
9283,Valhalla Knights: Eldar Saga,2009.0,Rising Star Games,United Kingdom,Luton,"K2, Kurogane",Wii,Role-Playing,0.1,0.01,0.01,0.01,0.14,35.0,17.0,6.7,19.0,T
9284,Guilty Gear,1998.0,Virgin Interactive,nan,nan,,PS,Fighting,0.03,0.02,0.07,0.01,0.14,,,,,
9285,Rio,2011.0,THQ,United States,Agoura Hills,Eurocom Entertainment Software,PS3,Misc,0.04,0.07,0.0,0.02,0.14,65.0,8.0,,,E10+
9286,Scene It? Bright Lights! Big Screen!,2009.0,Warner Bros. Interactive Entertainment,United States,Chicago,,X360,Misc,0.12,0.0,0.0,0.01,0.14,,,,,
9287,World Championship Poker 2: Featuring Howard Lederer,2005.0,505 Games,nan,nan,Crave,PSP,Misc,0.12,0.0,0.0,0.01,0.14,65.0,17.0,2.8,17.0,T
9288,BIT.TRIP SAGA,2011.0,Rising Star Games,United Kingdom,Luton,Gaijin Games,3DS,Misc,0.09,0.04,0.0,0.01,0.14,75.0,21.0,7.8,24.0,E
9289,Mary-Kate and Ashley: Crush Course,2001.0,Acclaim Entertainment,United States,Glen Cove,,PS,Action,0.08,0.05,0.0,0.01,0.14,,,,,
9290,NHL Breakaway 98,1996.0,Acclaim Entertainment,United States,Glen Cove,,PS,Sports,0.08,0.05,0.0,0.01,0.14,,,,,
9291,Where the Wild Things Are,2009.0,Warner Bros. Interactive Entertainment,United States,Chicago,WayForward,DS,Platform,0.12,0.0,0.0,0.01,0.14,,,,,E
9292,Metal Slug 7,2008.0,Ignition Entertainment,nan,nan,SNK Playmore,DS,Shooter,0.12,0.0,0.01,0.01,0.14,70.0,38.0,7.4,13.0,T
9293,Call of Duty: Infinite Warfare,2016.0,Activision,United States,Santa Monica,Infinity Ward,PC,Shooter,0.04,0.08,0.0,0.01,0.14,73.0,16.0,3.0,440.0,M
9294,Disney's Cinderella: Magical Dreams,,Disney Interactive Studios,United States,Glendale,Culture Brain,GBA,Platform,0.1,0.04,0.0,0.0,0.14,69.0,7.0,,,E
9295,MotoGP '06,2006.0,THQ,United States,Agoura Hills,"Climax Group, Climax Studios",X360,Racing,0.11,0.01,0.0,0.01,0.14,80.0,50.0,7.7,13.0,E
9296,Tiger Woods PGA Tour 2005,2004.0,Electronic Arts,United States,Redwood City,EA Sports,GC,Sports,0.1,0.03,0.0,0.0,0.14,88.0,18.0,,,E
9297,G.I. Joe: The Rise of Cobra,2009.0,Electronic Arts,United States,Redwood City,Backbone Entertainment,DS,Action,0.11,0.01,0.0,0.01,0.14,47.0,16.0,7.5,4.0,E10+
9298,Spider-Man: Edge of Time,2011.0,Activision,United States,Santa Monica,"Beenox, Other Ocean Interactive",DS,Action,0.12,0.01,0.0,0.01,0.14,50.0,6.0,,,E10+
9299,Gourmet Chef: Cook Your Way to Fame,2008.0,Ubisoft,Europe,Montreuil-sous-Bois,Ubisoft,DS,Misc,0.13,0.0,0.0,0.01,0.14,,,,,E
9300,Fashion Studio: Paris Collection,2009.0,Ubisoft,Europe,Montreuil-sous-Bois,Ubisoft,DS,Misc,0.13,0.0,0.0,0.01,0.14,,,,,E
9301,Salt Lake 2002,2002.0,Eidos Interactive,nan,nan,Attention To Detail,PS2,Sports,0.07,0.05,0.0,0.02,0.14,49.0,11.0,3.5,6.0,E
